run,config,model,tier,loss,balance,fold,params,val_f1_all,val_f1_nobg,val_sens,val_spec,best_epoch,n_epochs,test_f1_all,test_f1_nobg,test_oa,test_tt_sens,test_tt_f1,latency_s
1dnnfabelo_ufl_bal_fold1_vpfabelo,1dnnfabelo_ufl_bal_vpfabelo,1D-NN-Fabelo,1,UFL,bal,1,4936,65.69696498150763,58.15995750003798,76.87199772455155,94.02685844901049,26,41,68.230227847887,64.35073317466691,76.95674217688455,74.70370370370371,39.66802367887978,
1dnnfabelo_ufl_nobal_fold1_vpfabelo,1dnnfabelo_ufl_nobal_vpfabelo,1D-NN-Fabelo,1,UFL,nobal,1,4936,72.4207514388252,65.27251947670916,82.19789205816575,95.39443442691797,16,21,81.63606967761285,80.91931555380759,85.63223752256181,61.81481481481481,66.81612554545818,
1dnnfabelo_ufl_bal_fold2_vpfabelo,1dnnfabelo_ufl_bal_vpfabelo,1D-NN-Fabelo,1,UFL,bal,2,4936,88.38354026572175,85.40089005636554,88.94348427674174,98.00904239909472,22,31,67.82119502504237,65.09245150723456,77.63734815145308,48.11851851851851,31.047914924124747,
1dnnfabelo_ufl_nobal_fold2_vpfabelo,1dnnfabelo_ufl_nobal_vpfabelo,1D-NN-Fabelo,1,UFL,nobal,2,4936,91.58623719552368,89.6232482007768,91.38516248161382,98.36590815038966,7,21,80.16699834353768,79.1813741026428,84.86969924354581,60.02962962962963,65.45777634182788,
1dnnfabelo_ufl_bal_fold3_vpfabelo,1dnnfabelo_ufl_bal_vpfabelo,1D-NN-Fabelo,1,UFL,bal,3,4936,73.1168968909825,67.66849792341517,75.42837149578692,96.48618697433034,15,30,73.20657574514227,72.36934035652008,79.68687257904237,59.62962962962963,51.888616733273174,
1dnnfabelo_ufl_nobal_fold3_vpfabelo,1dnnfabelo_ufl_nobal_vpfabelo,1D-NN-Fabelo,1,UFL,nobal,3,4936,74.28263906330812,66.75357590868933,75.39968081240373,97.3783490631929,15,21,83.87210651362476,83.20885329747695,86.10071183759557,76.71851851851852,78.48293108021066,
1dnnfabelo_ufl_bal_fold4_vpfabelo,1dnnfabelo_ufl_bal_vpfabelo,1D-NN-Fabelo,1,UFL,bal,4,4936,69.63799196317629,61.96619136693607,77.13049638278295,95.42710070188623,21,23,72.21487268063834,70.95123930781101,79.5372041615121,64.93333333333334,45.446768800062216,
1dnnfabelo_ufl_nobal_fold4_vpfabelo,1dnnfabelo_ufl_nobal_vpfabelo,1D-NN-Fabelo,1,UFL,nobal,4,4936,78.73246846127697,73.33676581380882,82.10424460092663,95.59895080314931,14,24,82.11216604042262,81.64482583367713,85.48703076517471,70.67407407407408,71.21212121212122,
1dnnfabelo_ufl_bal_fold5_vpfabelo,1dnnfabelo_ufl_bal_vpfabelo,1D-NN-Fabelo,1,UFL,bal,5,4936,71.12303673759466,68.24592366894923,72.49494903409138,95.09193784798875,16,31,66.76176612577939,67.35001624025382,75.227646068669,58.25185185185185,35.53386652207311,
1dnnfabelo_ufl_nobal_fold5_vpfabelo,1dnnfabelo_ufl_nobal_vpfabelo,1D-NN-Fabelo,1,UFL,nobal,5,4936,85.59963221863295,81.85840369468785,85.15671739132394,98.22834738963587,6,21,79.98651255396565,79.11271149092825,84.99097527834675,61.17777777777778,64.53352086263479,
1dcnn_ce_bal_fold1_vpfabelo,1dcnn_ce_bal_vpfabelo,1D-CNN-Hu,2,CE,bal,1,76824,66.5688192660872,57.97377322581328,77.17787499920593,95.12096277434998,16,31,74.80445005698346,73.25272598467171,80.78444097426434,83.01481481481481,55.606827428798255,
1dcnn_ce_nobal_fold1_vpfabelo,1dcnn_ce_nobal_vpfabelo,1D-CNN-Hu,2,CE,nobal,1,76824,71.78381635793164,63.884234829961365,80.67548010461651,96.04434004095174,24,25,84.55085275166822,83.28899411443459,88.69374759171752,68.55555555555556,71.62203993189908,
1dcnn_ce_bal_fold2_vpfabelo,1dcnn_ce_bal_vpfabelo,1D-CNN-Hu,2,CE,bal,2,76824,79.20669309767132,73.24089246167215,77.76097541445881,97.21765496609981,29,30,76.08858384234274,74.5900906159653,81.935954896672,70.93333333333334,57.039044584090306,
1dcnn_ce_nobal_fold2_vpfabelo,1dcnn_ce_nobal_vpfabelo,1D-CNN-Hu,2,CE,nobal,2,76824,90.94691664249292,88.63025036464674,90.85353864567611,98.33412789648366,9,24,85.02231716113965,84.73132011256719,87.66269849317568,80.39259259259259,76.99893579283433,
1dcnn_ce_bal_fold3_vpfabelo,1dcnn_ce_bal_vpfabelo,1D-CNN-Hu,2,CE,bal,3,76824,79.47595378018666,74.16577573029808,80.0335274995959,98.02865768983074,36,51,78.57439127235344,77.14842132383595,84.02725668742015,65.05185185185185,61.612937173325854,
1dcnn_ce_nobal_fold3_vpfabelo,1dcnn_ce_nobal_vpfabelo,1D-CNN-Hu,2,CE,nobal,3,76824,78.42278352605118,72.09552877355833,79.26817548271039,98.07249414737525,18,29,84.32558683849436,82.2467311846292,88.15388671439291,70.02962962962962,73.70677893423772,
1dcnn_ce_bal_fold4_vpfabelo,1dcnn_ce_bal_vpfabelo,1D-CNN-Hu,2,CE,bal,4,76824,74.07119585334185,67.15931638129705,78.5019472184928,95.63363462525953,15,30,74.80578138959486,73.27012462684236,81.49506175343244,63.629629629629626,51.51115375389782,
1dcnn_ce_nobal_fold4_vpfabelo,1dcnn_ce_nobal_vpfabelo,1D-CNN-Hu,2,CE,nobal,4,76824,76.4613338445267,70.53402766336329,83.53660527076256,96.31454460078965,3,18,82.99410801835279,81.44705099791165,87.84116489890283,69.55555555555556,65.92249368155014,
1dcnn_ce_bal_fold5_vpfabelo,1dcnn_ce_bal_vpfabelo,1D-CNN-Hu,2,CE,bal,5,76824,75.31426078676525,70.31899539528325,75.84064218992641,96.7230913417319,29,44,72.93502479956885,71.20962160114902,80.10140136689043,61.93333333333333,48.899026230371085,
1dcnn_ce_nobal_fold5_vpfabelo,1dcnn_ce_nobal_vpfabelo,1D-CNN-Hu,2,CE,nobal,5,76824,91.17337734906177,89.24189164536514,91.0626998581919,98.941906463592,7,18,84.11223486803179,82.22810082326176,88.85761220061246,60.96296296296296,68.39808851028465,
1dcnn_ufl_bal_fold1_vpfabelo,1dcnn_ufl_bal_vpfabelo,1D-CNN-Hu,2,UFL,bal,1,76824,65.62173413569954,57.59095976284255,78.09665257814103,94.43650785450745,21,36,72.73210283966068,71.39986258863954,79.23097203350301,82.9925925925926,48.95569343703574,
1dcnn_ufl_nobal_fold1_vpfabelo,1dcnn_ufl_nobal_vpfabelo,1D-CNN-Hu,2,UFL,nobal,1,76824,72.45852079164854,64.68540152496183,77.7530249530736,95.93223021429976,6,21,84.25180838879875,83.26244936539976,87.78356892250908,66.68148148148148,73.06818181818183,
1dcnn_ufl_bal_fold2_vpfabelo,1dcnn_ufl_bal_vpfabelo,1D-CNN-Hu,2,UFL,bal,2,76824,80.80307090303161,75.3508050584264,79.06488884744847,97.29678744354847,36,39,78.24315712759888,77.06790959124645,83.17021233446226,72.77777777777777,62.33543761697808,
1dcnn_ufl_nobal_fold2_vpfabelo,1dcnn_ufl_nobal_vpfabelo,1D-CNN-Hu,2,UFL,nobal,2,76824,89.26248936519761,86.38977454271219,86.35134040262903,98.0502070094418,3,18,81.28552728831698,79.93158309312118,86.56553570342128,52.36296296296297,64.61904108962932,
1dcnn_ufl_bal_fold3_vpfabelo,1dcnn_ufl_bal_vpfabelo,1D-CNN-Hu,2,UFL,bal,3,76824,76.74528053745355,71.45760385779597,77.62171447217338,97.34578515469188,18,33,75.0450795910821,73.33450809181966,81.84266563913282,51.22222222222222,53.12692071296865,
1dcnn_ufl_nobal_fold3_vpfabelo,1dcnn_ufl_nobal_vpfabelo,1D-CNN-Hu,2,UFL,nobal,3,76824,77.13455122158447,70.4708117724322,76.89136307973055,98.0479632858559,9,11,83.66554861403557,81.74404405618603,87.59090632541727,67.87407407407407,72.90738383195416,
1dcnn_ufl_bal_fold4_vpfabelo,1dcnn_ufl_bal_vpfabelo,1D-CNN-Hu,2,UFL,bal,4,76824,73.82837602700396,68.2050338966846,83.00544081498505,95.46720154423457,39,54,73.7197983086211,72.79930242078085,80.28838548743637,70.2074074074074,50.38005634401743,
1dcnn_ufl_nobal_fold4_vpfabelo,1dcnn_ufl_nobal_vpfabelo,1D-CNN-Hu,2,UFL,nobal,4,76824,77.62397179735157,71.65134643234806,81.48603135213379,96.2469957955624,2,17,81.86903294246983,79.9821752225607,87.34632622847755,56.37777777777778,64.86555588699025,
1dcnn_ufl_bal_fold5_vpfabelo,1dcnn_ufl_bal_vpfabelo,1D-CNN-Hu,2,UFL,bal,5,76824,73.020687948999,68.27123217295411,73.8752919956833,96.31494935819529,21,31,70.4118827642697,69.40800718572933,78.33417834472408,57.7925925925926,41.14978902953587,
1dcnn_ufl_nobal_fold5_vpfabelo,1dcnn_ufl_nobal_vpfabelo,1D-CNN-Hu,2,UFL,nobal,5,76824,88.9055190979586,86.82433255495542,86.3800940246794,98.48402360826299,21,23,83.44052549616232,82.0851702530419,87.86103956681336,56.0962962962963,70.82534486789805,
2dcnnfabelo_ce_bal_fold1_vpfabelo,2dcnnfabelo_ce_bal_vpfabelo,2D-CNN-Fabelo,3,CE,bal,1,142052,69.32435331624322,61.55285423171303,80.46633900779321,95.46317162841171,7,18,74.37258993195958,73.60186801993544,81.37662495690442,66.52592592592592,44.96120150187735,
2dcnnfabelo_ce_bal_fold2_vpfabelo,2dcnnfabelo_ce_bal_vpfabelo,2D-CNN-Fabelo,3,CE,bal,2,142052,88.25990756753642,85.57891595392545,90.80345160913834,97.92905014535944,1,16,75.86435601258115,75.49957412488061,81.73234095195603,70.6962962962963,53.508255543408175,
2dcnnfabelo_ce_bal_fold3_vpfabelo,2dcnnfabelo_ce_bal_vpfabelo,2D-CNN-Fabelo,3,CE,bal,3,142052,76.8614716315071,70.30055078906022,78.7159549688959,97.53601962447244,7,16,77.73426628385167,75.89252668310262,83.97655600397493,56.97777777777778,58.22420710014382,
2dcnnfabelo_ce_bal_fold4_vpfabelo,2dcnnfabelo_ce_bal_vpfabelo,2D-CNN-Fabelo,3,CE,bal,4,142052,76.52287718842,70.02497943981587,75.37167620444964,95.25563594622417,7,22,77.5770134593825,76.314740096484,83.28946034192542,67.24444444444444,57.96934865900383,
2dcnnfabelo_ce_bal_fold5_vpfabelo,2dcnnfabelo_ce_bal_vpfabelo,2D-CNN-Fabelo,3,CE,bal,5,142052,85.81671338358652,82.65118870541252,85.54151716761413,98.50639233784871,13,21,79.65624641084939,79.19579632952922,83.84108377780932,63.65925925925926,64.9437013526789,
2dcnnfabelo_ufl_bal_fold1_vpfabelo,2dcnnfabelo_ufl_bal_vpfabelo,2D-CNN-Fabelo,3,UFL,bal,1,142052,67.56915458235255,59.55522786360885,80.03303015907397,95.27868885103256,7,12,76.05268358419028,75.29337411948163,81.82928065870327,72.4074074074074,55.002250731487734,
2dcnnfabelo_ufl_bal_fold2_vpfabelo,2dcnnfabelo_ufl_bal_vpfabelo,2D-CNN-Fabelo,3,UFL,bal,2,142052,89.4613780316935,86.63628850902722,88.25051223849569,98.25879727632187,3,18,77.80041323631575,77.5252810561918,82.89561743292299,74.12592592592593,60.95325110400487,
2dcnnfabelo_ufl_bal_fold3_vpfabelo,2dcnnfabelo_ufl_bal_vpfabelo,2D-CNN-Fabelo,3,UFL,bal,3,142052,73.8543243782154,67.13964599096283,75.39659388979804,96.78606376696503,5,16,74.1068526357113,72.02834966628902,81.37905858970979,55.15555555555556,50.60658578856152,
2dcnnfabelo_ufl_bal_fold4_vpfabelo,2dcnnfabelo_ufl_bal_vpfabelo,2D-CNN-Fabelo,3,UFL,bal,4,142052,76.81360437371265,70.43947047560155,76.7290417148963,95.65347456615896,2,17,72.81202353065453,71.81885419586249,79.25936441623233,75.37777777777778,46.95459579180509,
2dcnnfabelo_ufl_bal_fold5_vpfabelo,2dcnnfabelo_ufl_bal_vpfabelo,2D-CNN-Fabelo,3,UFL,bal,5,142052,83.09283695323447,79.10104378969814,83.58073373074521,98.22511210972132,10,11,77.32487215441064,76.29294288090695,83.14384797907076,59.76296296296296,58.183391627303216,
2dcnn_ce_bal_fold1_vpfabelo,2dcnn_ce_bal_vpfabelo,2D-CNN-LeeEtAl,3,CE,bal,1,296580,67.73774406005289,60.72923321153696,81.339227401566,94.46608159619296,3,18,74.8116539885385,74.47473594889934,80.84447058346346,74.4888888888889,51.50847718076116,
2dcnn_ce_nobal_fold1_vpfabelo,2dcnn_ce_nobal_vpfabelo,2D-CNN-LeeEtAl,3,CE,nobal,1,296580,70.6000569662664,63.27402533331622,80.45611125429761,95.1667801726605,2,11,,,,,,
2dcnn_ce_bal_fold2_vpfabelo,2dcnn_ce_bal_vpfabelo,2D-CNN-LeeEtAl,3,CE,bal,2,296580,90.62406458808361,88.38561843767282,93.27725447931095,98.32080205234371,1,15,71.84480714809548,68.32325242753409,81.68691313958912,46.91851851851852,32.092009930587224,
2dcnn_ce_bal_fold3_vpfabelo,2dcnn_ce_bal_vpfabelo,2D-CNN-LeeEtAl,3,CE,bal,3,296580,75.85679666795673,68.91709546493954,80.36957391267315,97.09782159855627,1,16,66.90607760957138,62.36625683178553,78.95637713196373,28.066666666666666,24.241842610364685,
2dcnn_ce_bal_fold4_vpfabelo,2dcnn_ce_bal_vpfabelo,2D-CNN-LeeEtAl,3,CE,bal,4,296580,74.73547110954667,68.84416209937498,81.95824397193086,95.85600538239586,7,22,73.66908986863243,73.05328705267713,80.80999411872072,58.296296296296305,48.335585308930106,
2dcnn_ce_bal_fold5_vpfabelo,2dcnn_ce_bal_vpfabelo,2D-CNN-LeeEtAl,3,CE,bal,5,296580,85.63306954851829,82.80343934425437,86.22909504837256,98.33365679327872,10,25,76.12280110261999,75.07547185006663,82.50299134032328,61.51851851851852,53.937327488228604,
2dcnn_ufl_bal_fold1_vpfabelo,2dcnn_ufl_bal_vpfabelo,2D-CNN-LeeEtAl,3,UFL,bal,1,296580,70.67190014641608,63.244460659704195,85.02375178859786,95.83703372206752,11,26,77.42809436313759,76.9098084893447,82.25111034496744,75.46666666666667,61.388286334056396,
2dcnn_ufl_bal_fold2_vpfabelo,2dcnn_ufl_bal_vpfabelo,2D-CNN-LeeEtAl,3,UFL,bal,2,296580,90.75329083545847,88.51782215252952,91.82680277182776,98.3130147876463,1,16,72.11419248547199,69.1535825969099,81.60579204607679,45.800000000000004,39.801731629598635,
2dcnn_ufl_bal_fold3_vpfabelo,2dcnn_ufl_bal_vpfabelo,2D-CNN-LeeEtAl,3,UFL,bal,3,296580,75.76181460308528,69.80066555313739,79.74963599861113,97.13322024008436,1,16,71.05450182799531,68.62860599259625,79.99188789064875,54.60740740740741,34.73508139562277,
2dcnn_ufl_bal_fold4_vpfabelo,2dcnn_ufl_bal_vpfabelo,2D-CNN-LeeEtAl,3,UFL,bal,4,296580,75.01127918007384,69.13303020440776,78.80735789914863,94.6847330095787,13,28,75.45347332842127,75.47062861228603,81.65405909671662,63.87407407407407,51.78512446326157,
2dcnn_ufl_bal_fold5_vpfabelo,2dcnn_ufl_bal_vpfabelo,2D-CNN-LeeEtAl,3,UFL,bal,5,296580,85.37717664450787,82.57140596320363,86.72803194034388,98.29592680721245,10,18,76.23437786771477,75.38814751464798,82.40645723904359,56.303703703703704,55.78715596330275,
2dcnnsimple_ce_bal_fold1_vpfabelo,2dcnnsimple_ce_bal_vpfabelo,2D-CNN-Simple,3,CE,bal,1,19644,67.79771481057348,59.86423869243741,81.12336207307426,94.8254559152779,4,19,71.73271064525314,69.26722212730967,78.96246121397716,69.08888888888889,40.75328250278549,
2dcnnsimple_ce_bal_fold2_vpfabelo,2dcnnsimple_ce_bal_vpfabelo,2D-CNN-Simple,3,CE,bal,2,19644,88.16052181301417,84.92182017082426,90.04623582175122,97.98594828620291,10,25,77.78402913505431,76.69337603756438,83.13330223691415,75.31851851851852,58.304423865363106,
2dcnnsimple_ce_bal_fold3_vpfabelo,2dcnnsimple_ce_bal_vpfabelo,2D-CNN-Simple,3,CE,bal,3,19644,76.52606803837313,71.16491350713062,80.46251501316561,97.41072976191633,8,23,72.94478751262767,71.36642148394071,80.483076111866,68.34814814814814,43.48563753328463,
2dcnnsimple_ce_bal_fold4_vpfabelo,2dcnnsimple_ce_bal_vpfabelo,2D-CNN-Simple,3,CE,bal,4,19644,65.66589566378966,57.36056655733598,71.51761630628069,93.83375116395149,9,11,69.90826655357439,69.72747660646291,77.89896367803037,60.25925925925926,36.57083773517049,
2dcnnsimple_ce_bal_fold5_vpfabelo,2dcnnsimple_ce_bal_vpfabelo,2D-CNN-Simple,3,CE,bal,5,19644,82.46965154213993,77.9638176417022,83.00238110131751,97.81709338188853,22,27,80.67874601158438,79.61071832194602,85.72349875276318,58.42222222222222,64.1349867859321,
